,ncratio,nspeed
1,-0.3229633154671931,-0.850322505313681
5,-0.3200138117797805,-0.7562686865142101
9,-0.31608114019656364,-0.7536560804364469
13,-0.31149302334947737,-0.7275300196588161
17,-0.34688706759842874,-0.9417637180353889
18,-0.24004948958770497,-0.16581971293975323
21,-0.3518029070774498,-0.8424846870803918
25,-0.33771083390425616,-0.9260880815688105
26,-0.21710890535227345,-0.014288560429494414
29,-0.3409880602236035,-0.910412445102232
30,-0.21284851113712192,0.02228792465918875
33,-0.33902172443199513,-0.9705023848907829
37,-0.35147518444551507,-0.847709899235918
41,-0.3488534033900372,-0.9522141423464413
45,-0.3518029070774498,-0.9339258998020997
49,-0.35016429391777615,-0.9260880815688105
50,-0.24922572328187756,-0.24158528919488265
53,-0.35639102392453614,-0.6413140190926344
54,-0.31083757808560786,-0.690953534570133
57,-0.3560633012926014,-0.659602261636976
58,-0.29477916912080576,-0.5289719577488218
61,-0.35409696550099296,-0.8999620207911796
62,-0.2698722490937659,-0.3591525626942214
65,-0.31083757808560786,-0.7040165649589484
66,-0.0843812394187055,0.7485924142773259
69,-0.30821579703012997,-0.7040165649589484
70,-0.1125653857650928,0.657151201555618
73,-0.3157534175646289,-0.7510434743586839
77,-0.31804747598817207,-0.7850073533696039
81,-0.34688706759842874,-0.9496015362686782
82,-0.2701999717257006,-0.33302650191659056
85,-0.3504920165497109,-0.9025746268689427
89,-0.33476133021684357,-0.910412445102232
93,-0.347870235494233,-0.9339258998020997
94,-0.23906632169190076,-0.23897268311711958
97,-0.341643505487473,-0.9757275970463091
101,-0.3504920165497109,-0.8712233539357858
105,-0.34655934496649404,-1.095907476623411
109,-0.35016429391777615,-0.879061172169075
113,-0.347870235494233,-0.8999620207911796
114,-0.2593851248718544,-0.35392735053869523
117,-0.3557355786606667,-0.7301426257365792
118,-0.2865861033224374,-0.4950080787379017
121,-0.35639102392453614,-0.6805031102590806
125,-0.35245835234131934,-0.9469889301909151
126,-0.23906632169190076,-0.13185583392883315
129,-0.3039554028149784,-0.6517644434036867
130,-0.058163428863926676,0.9837269612760033
133,-0.30329995755110895,-0.6517644434036867
134,-0.0319456183091478,0.9262496275652156
137,-0.3059217386065868,-0.6831157163368438
138,0.036876134397146675,1.3338161756962565
141,-0.3200138117797805,-0.7745569290585517
142,-0.15254754686113053,0.4324670788679928
145,-0.3462316223345593,-0.9156376572577581
146,-0.2557801759205723,-0.23897268311711958
149,-0.3531137976051888,-0.8450972931581548
153,-0.34262667338327724,-0.9417637180353889
157,-0.3422989507513425,-0.8842863843246012
158,-0.11944756103572222,0.5839982313782517
161,-0.3386940018000604,-0.9260880815688105
165,-0.3518029070774498,-0.8581603235469702
169,-0.35114746181358036,-0.910412445102232
173,-0.3521306297093845,-0.913025051179995
177,-0.3455761770706898,-0.8895115964801273
178,-0.22923464273385868,-0.09527934884014999
181,-0.35639102392453614,-0.7432056561253946
185,-0.3557355786606667,-0.7850073533696039
186,-0.2587296796079849,-0.24681050135040883
189,-0.3544246881329277,-0.8868989904023642
193,-0.3173920307243026,-0.7614938986697362
194,-0.12403567788280855,0.6127368982336455
197,-0.32329103809912785,-0.8215838384582871
198,-0.2157980148245345,0.017062712503662585
201,-0.32886232284201833,-0.8294216566915764
202,-0.25479700802476807,-0.2337474709615934
205,-0.3187029212520415,-0.7797821412140777
206,-0.14533764895856635,0.4246292606347036
209,-0.3481979581261677,-0.8921242025578904
210,-0.2754435338366564,-0.41401729032724616
213,-0.35278607497325404,-0.8424846870803918
214,-0.29051877490565425,-0.5524854124486895
217,-0.3432821186471467,-0.9574393545019675
218,-0.19220198532523355,0.02228792465918875
221,-0.3508197391816456,-0.910412445102232
222,-0.28101481857954697,-0.41401729032724616
225,-0.33607222074458254,-0.9051872329467058
229,-0.3504920165497109,-0.8529351113914442
233,-0.3504920165497109,-0.8712233539357858
237,-0.3518029070774498,-0.8659981417802596
238,-0.2705276943576354,-0.3591525626942214
241,-0.3508197391816456,-0.8764485660913118
242,-0.23087325589353236,-0.09266674276238691
245,-0.3560633012926014,-0.690953534570133
246,-0.29412372385693636,-0.5185215334377695
249,-0.35639102392453614,-0.7092417771144746
250,-0.28396432226695956,-0.4375307450271139
253,-0.3531137976051888,-0.9208628694132843
254,-0.14894259790984846,0.3985031998570727
257,-0.3157534175646289,-0.7980703837584193
261,-0.3170643080923678,-0.7771695351363147
262,-0.1623792258191726,0.3096745932131279
265,-0.3265682644184752,-0.8241964445360502
266,-0.1613960579233684,0.3175124114464172
269,-0.3295177681058878,-0.8215838384582871
270,-0.22431880325483763,0.02228792465918875
273,-0.3432821186471467,-0.9313132937243366
277,-0.3419712281194078,-0.8999620207911796
281,-0.35376924286905825,-0.8268090506138133
289,-0.35508013339679717,-0.7693317169030255
293,-0.35245835234131934,-0.881673778246838
294,-0.2384108764280313,-0.040414621207125245
297,-0.3557355786606667,-0.7066291710367114
298,-0.30461084807884786,-0.6204131704705297
301,-0.3544246881329277,-0.8633855357024964
