,best_categ
1,0
5,0
9,0
13,0
17,0
18,0
21,0
25,0
26,0
29,0
30,0
33,0
37,0
41,0
45,0
49,0
50,0
53,0
54,0
57,0
58,0
61,0
62,0
65,0
66,0
69,0
70,0
73,0
77,0
81,0
82,0
85,0
89,0
93,0
94,0
97,0
101,0
105,0
109,0
113,0
114,0
117,0
118,0
121,0
125,0
126,0
129,0
130,0
133,0
134,0
137,0
138,0
141,0
142,0
145,0
146,0
149,0
153,0
157,0
158,0
161,0
165,0
169,0
173,0
177,0
178,0
181,0
185,0
186,0
189,0
193,0
194,0
197,0
198,0
201,0
202,0
205,0
206,0
209,0
210,0
213,0
214,0
217,0
218,0
221,0
222,0
225,0
229,0
233,0
237,0
238,0
241,0
242,0
245,0
246,0
249,0
250,0
253,0
254,0
257,0
261,0
262,0
265,0
266,0
269,0
270,0
273,0
277,0
281,0
289,0
293,0
294,0
297,0
298,0
301,0
302,0
309,0
310,0
313,0
317,0
321,0
325,0
326,0
329,0
330,0
333,0
334,0
337,0
341,0
342,0
345,0
346,0
349,0
353,0
354,0
357,0
358,0
361,0
362,0
365,0
366,0
369,0
373,0
374,0
377,0
378,0
381,0
382,0
385,0
386,0
389,0
390,0
393,0
394,0
397,0
398,0
401,0
405,0
406,0
409,0
410,0
413,0
417,0
421,0
422,0
425,0
426,0
429,0
430,0
433,0
437,0
438,0
441,0
442,0
445,0
446,0
449,0
450,0
453,0
454,0
457,0
461,0
465,0
466,0
469,0
470,0
473,0
474,0
477,0
478,0
481,0
482,0
485,0
486,0
489,0
490,0
493,0
494,0
497,0
498,0
501,0
502,0
505,0
509,0
510,0
513,0
514,0
517,0
518,0
521,0
522,0
525,0
529,0
533,0
534,0
537,0
541,0
545,0
546,0
549,0
550,0
553,0
554,0
557,0
561,0
562,0
565,0
566,0
569,0
570,0
573,0
577,0
578,0
581,0
582,0
585,0
586,0
589,0
590,0
593,0
598,0
601,0
605,0
609,0
610,0
613,0
614,0
617,0
618,0
621,0
625,0
626,0
629,0
630,0
633,0
634,0
637,0
641,0
645,0
646,0
649,0
650,0
653,0
654,0
657,0
658,0
661,0
665,0
669,0
673,0
674,0
677,0
678,0
681,0
682,0
685,0
689,0
690,0
693,0
694,0
697,0
698,0
701,0
705,0
709,0
713,0
714,0
717,0
718,0
721,0
725,0
729,0
733,0
737,0
738,0
741,0
745,0
746,0
749,0
753,0
754,0
757,0
758,0
761,0
765,0
769,0
773,0
777,0
778,0
781,0
782,0
785,0
786,0
789,0
793,0
797,0
801,0
802,0
805,0
806,0
809,0
810,0
813,0
814,0
817,0
818,0
821,0
822,0
825,0
826,0
829,0
830,0
833,0
834,0
837,0
841,0
842,0
845,0
846,0
849,0
850,0
853,0
857,0
861,0
865,0
869,0
870,0
873,0
874,0
877,0
881,0
882,0
885,0
886,0
889,0
890,0
893,0
894,0
897,0
898,0
901,0
902,0
905,0
906,0
909,0
910,0
913,0
917,0
925,0
929,0
933,0
937,0
938,0
941,0
942,0
945,0
946,0
949,0
950,0
953,0
954,0
957,0
958,0
961,0
962,0
965,0
966,0
969,0
970,0
973,0
974,0
977,0
981,0
985,0
989,0
993,0
994,0
997,0
998,0
1001,0
1002,0
1005,0
1006,0
1009,0
1010,0
1013,0
1014,0
1017,0
1018,0
1021,0
1022,0
1025,0
1026,0
1029,0
1030,0
1033,0
1037,0
1038,0
1041,0
1042,0
1045,0
1046,0
1049,0
1050,0
1053,0
1054,0
1057,0
1058,0
1061,0
1062,0
1065,0
1069,0
1070,0
1073,0
1074,0
1077,0
1078,0
1081,0
1085,0
1086,0
1089,0
1090,0
1093,0
1094,0
1097,0
1098,0
1101,0
1102,0
1105,0
1106,0
1109,0
1110,0
1113,0
1114,0
1118,0
1121,0
1122,0
1125,0
1126,0
1129,0
1133,0
1134,0
1137,0
1138,0
1141,0
1142,0
1145,0
1149,0
1150,0
1153,0
1154,0
1157,0
1158,0
1161,0
1162,0
1165,0
1166,0
1169,0
1170,0
1173,0
1174,0
1177,0
1178,0
1182,0
1185,0
1186,0
1189,0
1190,0
1193,0
1197,0
1198,0
1201,0
1205,0
1209,0
1213,0
1214,0
1217,0
1218,0
1221,0
1222,0
1225,0
1226,0
1229,0
1230,0
1233,0
1234,0
1237,0
1238,0
1241,0
1242,0
1245,0
1246,0
1249,0
1253,0
1254,0
1257,0
1261,0
1262,0
1265,0
1266,0
1269,0
1273,0
1277,0
1278,0
1281,0
1285,0
1286,0
1297,0
1298,0
1301,0
1302,0
1313,0
1314,0
1317,0
1329,0
1333,0
1345,0
1349,0
1350,0
1361,0
1362,0
1365,0
1366,0
1377,0
1378,0
1381,0
1393,0
1397,0
1409,0
1413,0
1414,0
1418,0
1425,0
1426,0
1429,0
1430,0
1441,0
1442,0
1445,0
1446,0
1457,0
1461,0
1473,0
1474,0
1477,0
1478,0
1482,0
1489,0
1490,0
1493,0
1494,0
1505,0
1506,0
1509,0
1521,0
1525,0
1537,0
1538,0
1541,0
1545,0
1549,0
1550,0
1553,0
1554,0
1557,0
1558,0
1561,0
1562,0
1565,0
1566,0
1569,0
1570,0
1573,0
1574,0
1577,0
1581,0
1585,0
1586,0
1589,0
1590,0
1593,0
1594,0
1597,0
1601,0
1602,0
1605,0
1606,0
1609,0
1610,0
1613,0
1614,0
1617,0
1618,0
1621,0
1622,0
1625,0
1626,0
1629,0
1630,0
1633,0
1634,0
1637,0
1638,0
1641,0
1645,0
1649,0
1650,0
1653,0
1654,0
1657,0
1658,0
1661,0
1665,0
1666,0
1669,0
1670,0
1673,0
1677,0
1678,0
1681,0
1682,0
1685,0
1686,0
1689,0
1690,0
1693,0
1694,0
1697,0
1698,0
1701,0
1702,0
1705,0
1706,0
1709,0
1710,0
1713,0
1714,0
1717,0
1718,0
1721,0
1725,0
1729,0
1730,0
1733,0
1734,0
1737,0
1741,0
1742,0
1745,0
1746,0
1749,0
1750,0
1753,0
1754,0
1757,0
1758,0
1761,0
1762,0
1765,0
1766,0
1769,0
1773,0
1774,0
1777,0
1778,0
1781,0
1782,0
1785,0
1786,0
1789,0
1793,0
1794,0
1797,0
1798,0
1801,0
1802,0
1805,0
1806,0
1809,0
1810,0
1813,0
1814,0
1817,0
1818,0
1821,0
1822,0
1825,0
1826,0
1829,0
1830,0
1833,0
1834,0
1837,0
1838,0
1841,0
1845,0
1849,0
1850,0
1853,0
1854,0
1857,0
1861,0
1862,0
1865,0
1866,0
1869,0
1870,0
1873,0
1874,0
1877,0
1878,0
1881,0
1882,0
1885,0
1886,0
1889,0
1890,0
1893,0
1894,0
1897,0
1898,0
1901,0
1902,0
1905,0
1909,0
1913,0
1914,0
1917,0
1918,0
1921,0
1925,0
1926,0
1929,0
1930,0
1933,0
1934,0
1937,0
1938,0
1941,0
1945,0
1946,0
1949,0
1950,0
1953,0
1957,0
1958,0
1961,0
1965,0
1966,0
1969,0
1973,0
1977,0
1981,0
1982,0
1985,0
1989,0
1990,0
1993,0
1997,0
1998,0
2001,0
2002,0
2005,0
2006,0
2009,0
2010,0
2013,0
2017,0
2021,0
2025,0
2029,0
2030,0
2033,0
2037,0
2041,0
2045,0
2046,0
2049,0
2050,0
2053,0
2061,0
2065,0
2066,0
2069,0
2081,0
2082,0
2097,0
2101,0
2105,0
2113,0
2114,0
2117,0
2121,0
2125,0
2129,0
2133,0
2145,0
2146,0
2149,0
2161,0
2165,0
2169,0
2173,0
2177,0
2178,0
2181,0
2185,0
2189,0
2193,0
2194,0
2197,0
2201,0
2209,0
2210,0
2213,0
2217,0
2221,0
2225,0
2241,0
2242,0
2245,0
2249,0
2253,0
2257,0
2258,0
2261,0
2273,0
2274,0
2277,0
2281,0
2285,0
2289,0
2293,0
2297,0
2301,0
2305,0
2313,0
2314,0
2317,0
2318,0
2325,0
2329,0
2333,0
2337,0
2341,0
2345,0
2346,0
2349,0
2353,0
2357,0
2361,0
2365,0
2366,0
2369,0
2373,0
2377,0
2378,0
2381,0
2382,0
2385,0
2389,0
2393,0
2394,0
2397,0
2398,0
2405,0
2409,0
2413,0
2425,0
2429,0
2430,0
2433,0
2437,0
2441,0
2442,0
2445,0
2446,0
2449,0
2453,0
2457,0
2458,0
2461,0
2462,0
2465,0
2469,0
2473,0
2474,0
2477,0
2481,0
2493,0
2494,0
2497,0
2505,0
2506,0
2509,0
2510,0
2521,0
2522,0
2525,0
2529,0
2533,0
2537,0
2538,0
2541,0
2545,0
2549,0
2557,0
2561,0
2565,0
2569,0
2570,0
2577,0
2581,0
2582,0
2585,0
2586,0
2589,0
2593,0
2594,0
2597,0
2598,0
2601,0
2605,0
2609,0
2613,0
2621,0
2625,0
2626,0
2629,0
2630,0
2633,0
2634,0
2637,0
2641,0
2642,0
2645,0
2646,0
2649,0
2650,0
2653,0
2657,0
2658,0
2661,0
2662,0
2665,0
2673,0
2674,0
2677,0
2685,0
2689,0
2690,0
2693,0
2694,0
2697,0
2698,0
2705,0
2706,0
2709,0
2710,0
2713,0
2717,0
2721,0
2722,0
2725,0
2726,0
2729,0
2737,0
2738,0
2741,0
2745,0
2749,0
2753,0
2754,0
2757,0
2758,0
2761,0
2762,0
2769,0
2770,0
2773,0
2774,0
2777,0
2781,0
2785,0
2786,0
2789,0
2790,0
2793,0
2797,0
2801,0
2805,0
2809,0
2817,0
2821,0
2825,0
2833,0
2837,0
2841,0
2853,0
2854,0
2857,0
2865,0
2869,0
2870,0
2873,0
2881,0
2889,0
2897,0
2901,0
2905,0
2913,0
2917,0
2918,0
2921,0
2929,0
2933,0
2934,0
2945,0
2949,0
2953,0
2961,0
2965,0
2969,0
2977,0
2981,0
2993,0
2997,0
2998,0
3013,0
3017,0
3029,0
3033,0
3045,0
3049,0
3057,0
3061,0
3062,0
3065,0
3073,0
3074,0
3077,0
3078,0
3081,0
3082,0
3085,0
3086,0
3089,0
3090,0
3093,0
3094,0
3097,0
3101,0
3105,0
3106,0
3109,0
3110,0
3113,0
3117,0
3121,0
3125,0
3126,0
3129,0
3133,0
3137,0
3138,0
3141,0
3142,0
3145,0
3146,0
3149,0
3150,0
3153,0
3154,0
3157,0
3158,0
3161,0
3162,0
3165,0
3169,0
3170,0
3173,0
3174,0
3177,0
3181,0
3185,0
3186,0
3189,0
3190,0
3197,0
3201,0
3202,0
3205,0
3206,0
3209,0
3210,0
3213,0
3214,0
3217,0
3218,0
3221,0
3222,0
3225,0
3226,0
3229,0
3233,0
3234,0
3237,0
3238,0
3241,0
3242,0
3245,0
3249,0
3250,0
3253,0
3254,0
3257,0
3261,0
3265,0
3266,0
3269,0
3270,0
3273,0
3274,0
3277,0
3278,0
3281,0
3282,0
3285,0
3286,0
3289,0
3290,0
3293,0
3297,0
3298,0
3301,0
3302,0
3305,0
3306,0
3309,0
3313,0
3317,0
3318,0
3321,0
3325,0
3329,0
3330,0
3333,0
3334,0
3337,0
3338,0
3341,0
3342,0
3345,0
3346,0
3349,0
3353,0
3357,0
3358,0
3361,0
3365,0
3369,0
3373,0
3377,0
3381,0
3385,0
3386,0
3389,0
3390,0
3393,0
3394,0
3397,0
3398,0
3401,0
3402,0
3405,0
3406,0
3409,0
3410,0
3413,0
3417,0
3418,0
3421,0
3422,0
3425,0
3429,0
3430,0
3433,0
3437,0
3441,0
3445,0
3449,0
3450,0
3453,0
3454,0
3457,0
3458,0
3461,0
3462,0
3465,0
3466,0
3469,0
3473,0
3474,0
3477,0
3478,0
3481,0
3482,0
3485,0
3486,0
3489,0
3493,0
3497,0
3501,0
3502,0
3505,0
3509,0
3513,0
3517,0
3518,0
3521,0
3522,0
3525,0
3526,0
3529,0
3530,0
3533,0
3534,0
3537,0
3538,0
3541,0
3545,0
3546,0
3549,0
3550,0
3553,0
3557,0
3558,0
3561,0
3565,0
3566,0
3569,0
3573,0
3577,0
3578,0
3581,0
3582,0
3589,0
3593,0
3597,0
3601,0
3605,0
3609,0
3613,0
3617,0
3621,0
3625,0
3629,0
3633,0
3634,0
3637,0
3641,0
3645,0
3653,0
3657,0
3661,0
3665,0
3669,0
3673,0
3677,0
3681,0
3685,0
3689,0
3693,0
3697,0
3698,0
3701,0
3705,0
3709,0
3713,0
3717,0
3721,0
3725,0
3729,0
3733,0
3741,0
3745,0
3749,0
3753,0
3757,0
3761,0
3762,0
3765,0
3769,0
3773,0
3777,0
3781,0
3785,0
3789,0
3793,0
3797,0
3801,0
3805,0
3809,0
3813,0
3817,0
3821,0
3825,0
3826,0
3829,0
3830,0
3833,0
3837,0
3841,0
3845,0
3849,0
3853,0
3857,0
3861,0
3865,0
3869,0
3873,0
3877,0
3881,0
3885,0
3889,0
3893,0
3897,0
3901,0
3905,0
3909,0
3913,0
